Metric,Baseline_Mean,Improved_Mean,Difference,Statistic,Raw_p,Adjusted_p,Significant
Accuracy,0.7614589145274492,0.914715643014627,0.15325672848717786,0.0,3.348474805997604e-26,1.1498028780334896e-25,True
Precision,0.6306033885671908,0.8430948499086435,0.2124914613414527,0.0,2.2996057560669792e-26,1.1498028780334896e-25,True
Recall,0.6957398943413193,0.7975328889716816,0.10179299463036229,298.0,7.881786967617578e-24,7.881786967617578e-24,True
F1,0.632766223258174,0.8120263525233908,0.17926012926521684,13.0,2.9856301754114186e-26,1.1498028780334896e-25,True
AUC,0.7427537709819819,0.9432588468272417,0.20050507584525978,0.0,2.2996057560669792e-26,1.1498028780334896e-25,True
